No,Name,Pos,Yr,Ht,Wt,Hometown,Last School,Season
66,"St. John, Ben",OL,FR,6-2,295,"Elmore, OH",Woodmore,2011
11,"Stoneburner, Jake",TE,JR,6-5,245,"Dublin, OH",Dublin Coffman,2011
42,"Sweat, Andrew",LB,SR,6-2,238,"Washington, PA",Trin,2011
28,"Tanner, Ron",DB,FR,6-1,190,"Columbus, OH",Eastmoor Academy,2011
98,"Thomas, Solomon",DE,SR,6-5,255,"West Chester, OH",Lakota West,2011
70,"Trummer, Tim",OL,FR,6-1,285,"Kettering, OH",Fairmont,2011
73,"Underwood, Antonio",OL,FR,6-3,305,"Shaker Heights, OH",Shaker Heights,2011
13,"Vann, Julian",DB,FR,5-10,170,"Lithonia, GA",Parkview,2011
81,"Vannett, Nick",TE,FR,6-6,235,"Westerville, OH",Central,2011
39,"Whiting, Jordan",LB,SO,6-1,238,"Louisville, KY",Trinity,2011
43,"Williams, Nathan",DL,SR,6-3,255,"Washington C.H., OH",Miami Trace,2011
18,"Williams, T.Y.",WR,FR,6-5,228,"East Cleveland, OH",Shaw,2011
32,"Wood, Darryl",RB,SO,5-9,250,"Columbus, OH",Eastmoor Academy,2011
21,"Wood, Jamie",DB,SO,6-1,200,"Pickerington, OH",Central,2011
75,"Adams, Mike",OL,JR,6-8,300,"Dublin, OH",Dublin Coffman,2010
48,"Bain, Dan",LB,JR,6-2,230,"Virginia Beach, VA",Cape Henry Collegiate School,2010
90,"Baldwin, Darryl",DL,FR,6-4,267,"Solon, OH",Solon,2010
23,"Barclay, Devin",K,SR,5-10,204,"Annapolis, MD",McDonogh,2010
4,"Barnett, C.J.",DB,SO,6-1,190,"Dayton , OH",Northmont,2010
24,"Basil, Drew",P,FR,6-1,206,"Chillicothe, OH",Chillicothe,2010
14,"Bauserman, Joe",QB,JR,6-1,233,"Strasburg, VA",Lincoln,2010
11,"Bell, Dorian",LB,FR,6-1,225,"Monroeville, PA",Gateway,2010
93,"Bellamy, Adam",DT,FR,6-4,295,"Aurora, OH",Aurora,2010
4,"Berry, Jaamal",RB,FR,5-10,200,"Pinecrest, FL",Miami Palmetto,2010
63,"Blackman, Ivan",OL,FR,6-3,330,"Bedford, OH",Bedford,2010
68,"Blankenship, Evan",DL,JR,6-3,288,"Monaca, PA",Center Area,2010
65,"Boren, Justin",OL,SR,6-3,320,"Pickerington, OH",Pickerington,2010
44,"Boren, Zach",RB,SO,6-1,252,"Pickerington, OH",Pickerington Central,2010
50,"Brewster, Michael",OL,JR,6-5,293,"Orlando, FL",Edgewater,2010
56,"Britt, Dalton",DL,SO,6-2,275,"Bellville, OH",Clear Fork,2010
3,"Brown, Corey",DB,FR,6-1,189,"Monroeville, PA",Gateway,2010
10,"Brown, Corey",WR,FR,5-11,170,"Upper Darby, PA",Cardinal O'Hara,2010
70,"Browning, Bryant",OL,SR,6-4,313,"Cleveland, OH",Glenville,2010
2,"Bryant, Christian",DB,FR,5-9,178,"Cleveland, OH",Glenville,2010
17,"Buchanan, Ben",P,SO,6-1,195,"Westerville, OH",Westerville Central,2010
83,"Cech, Joe",WR,SO,6-2,186,"Aurora, OH",Aurora,2010
5,"Chekwa, Chimdi",DB,SR,6-1,190,"Clermont, FL",East Ridge,2010
28,"Clarke, Dominic",DB,FR,5-10,191,"Frederick, MD",Tuscarora,2010
81,"Crawford, Ricky",WR,SR,6-3,215,"Lewis Center, OH",Olentangy,2010
35,"DeLande, Bo",RB,JR,5-11,195,"Hilliard, OH",Davidson,2010
81,"DiLillo, Nic",TE,SO,6-4,262,"Madison, OH",Madison,2010
16,"Domicone, Zach",DB,SO,6-3,211,"Beavercreek, OH",Beavercreek,2010
60,"Dornbrook, Garrett",LS,SO,6-2,225,"Medina, OH",Medina,2010
20,"Doup, Russell",K,FR,6-1,180,"Mt. Vernon, OH",Mt. Vernon,2010
33,"Durham, David",DL,FR,6-1,231,"Charlotte, NC",Charlotte Christian,2010
34,"Ebner, Nate",DB,SO,6-1,200,"Dublin, OH",Hilliard Davidson,2010
39,"Erwin, Derek",P,SO,5-10,203,"Tiro, OH",Buckeye Central,2010
30,"Evege, Donnie",DB,JR,5-11,180,"Huber Heights, OH",Wayne,2010
91,"Fellows, Melvin",DE,FR,6-5,249,"Garfield Hts., OH",Garfield Heights,2010
80,"Fields, Chris",WR,FR,6-1,185,"Painesville, OH",Painesville Harvey,2010
88,"Fragel, Reid",TE,SO,6-8,260,"Grosse Pointe Farms, MI",Grosse Pointe South,2010
8,"Gant, Aaron",DB,SR,6-1,206,"Detroit, MI",St. Mary's,2010
37,"Georgiades, James",RB,SO,5-11,240,"North Canton, OH",Hoover,2010
53,"Goebel, Garrett",DL,SO,6-3,281,"Villa Park, IL",Montini,2010
19,"Graham, Taylor",QB,FR,6-4,225,"Wheaton, IL",Wheaton North,2010
67,"Green, Cavin",DL,FR,6-4,235,"New Albany, OH",Columbus Academy,2010
9,"Griffin, Adam",DB,FR,5-7,178,"Columbus, OH",DeSales,2010
13,"Guiton, Ken",QB,FR,6-2,190,"Houston, TX",Eisenhower,2010
23,"Hagan, Chad",DB,FR,6-1,230,"Canonsburg, PA",Canon-McMillan,2010
7,"Hall, Jordan",RB,SO,5-9,195,"Jeannette, PA",Jeannette,2010
79,"Hall, Marcus",OL,SO,6-5,321,"Cleveland, OH",Glenville,2010
52,"Hankins, Johnathan",DL,FR,6-3,335,"Dearborn Heights, MI",Southeastern,2010
85,"Harlamert, Tony",WR,FR,5-11,179,"Coldwater, OH",Coldwater,2010
35,"Hastings, James",LB,FR,5-10,205,"Parma Heights, OH",Valley Forge,2010
1,"Herron, Dan",RB,JR,5-10,202,"Warren, OH",Harding,2010
97,"Heyward, Cameron",DT,SR,6-5,288,"Suwanee, GA",Peachtree Ridge,2010
7,"Hines, Jermale",DB,SR,6-1,216,"Cleveland, OH",Glenville,2010
49,"Homan, Adam",RB,SO,6-2,238,"Coldwater, OH",Coldwater,2010
51,"Homan, Ross",LB,SR,6-1,227,"Coldwater, OH",Coldwater,2010
18,"Howard, Travis",DB,SO,6-1,190,"Miami, FL",Dr. Krop,2010
89,"Hummel, Garrett",WR,SR,5-11,195,"Shelby, OH",Shelby,2010
34,"Hyde, Carlos",RB,FR,6-1,238,"Naples, FL",FUMA/Naples,2010
15,"Jackson, James",WR,SO,5-10,184,"Grand Ledge, MI",Grand Ledge,2010
41,"Jackson, Tony",LB,JR,5-10,220,"Columbus, OH",Westland,2010
19,"Johnson, Orhian",DB,SO,6-2,205,"St. Petersburg, FL",Boca Ciega,2010
73,"Kerr, Josh",OT,SR,6-3,288,"Strongsville, OH",Strongsville,2010
32,"Klein, Storm",LB,SO,6-2,230,"Newark, OH",Licking Valley,2010
69,"Kramer, Eric",OL,FR,6-4,270,"Cincinnati, OH",St. Xavier,2010
72,"Larimore, Dexter",DL,SR,6-2,310,"Merrillville, IN",Merrillville,2010
71,"Linsley, Corey",OL,FR,6-2,298,"Youngstown, OH",Boardman,2010
59,"Longo, Sam",OL,FR,6-5,280,"Spring Valley, OH",Bellbrook,2010
62,"Lorenz, Jon",DL,SO,6-5,276,"Dublin, OH",Bishop Watterson,2010
6,"Louis, James",WR,FR,5-10,176,"Delray Beach, FL",Atlantic,2010
56,"Makridis, George",LS,FR,5-11,236,"Warren, OH",Warren G. Harding,2010
57,"Malone, Chris",OL,SR,6-1,279,"Gahanna, OH",Lincoln,2010
95,"Matheney, Don",DL,SR,6-1,310,"Lancaster, OH",Lancaster,2010
37,"Maxwell, Chris",DB,SO,6-2,215,"Maineville, OH",Kings,2010
92,"McCary, William",DL,SO,6-1,220,"Carrollton, TX",Creekview,2010
96,"McQuaide, Jake",LS,SR,6-3,234,"Cincinnati, OH",Elder,2010
38,"McVey, Scott",LB,FR,6-1,218,"Lyndhurst, OH",St. Ignatius,2010
74,"Mewhort, Jack",OL,FR,6-6,288,"Toledo, OH",St. John?s,2010
55,"Miller, Andy",OL,SR,6-6,288,"Washington, PA",Trinity,2010
26,"Moeller, Tyler",LB,SR,6-1,210,"Cincinnati, OH",Colerain,2010
50,"Moore, J.T.",DL,FR,6-1,246,"Boardman, OH",Boardman,2010
55,"Newsome, Jonathan",LB,SO,6-3,219,"Cleveland, OH",Glenville,2010
78,"Norwell, Andrew",OL,FR,6-5,308,"Cincinnati, OH",-,2010
20,"Oliver, Nate",DB,JR,6-1,215,"Cleveland, OH",St. Edward,2010
25,"Petrella, Vincent",DB,SO,5-11,179,"Blacklick, OH",-,2010
58,"Piening, Nick",LS,FR,5-8,255,"Cincinnati, OH",Colerain,2010
8,"Posey, DeVier",WR,JR,6-2,213,"Cincinnati, OH",LaSalle,2010
2,"Pryor, Terrelle",QB,JR,6-6,233,"Jeannette, PA",Jeannette,2010
14,"Reed, Verlon",WR,FR,6-1,190,"Columbus, OH",Marion-Franklin,2010
29,"Rice, Taylor",DB,SO,5-10,177,"Dublin, OH",Scioto,2010
87,"Roark, Chris",WR,SO,5-9,180,"Kettering, OH",Alter,2010
25,"Roby, Bradley",DB,FR,5-11,176,"Suwanee, GA",Peachtree Ridge,2010
36,"Rolle, Brian",LB,SR,5-11,218,"Immokalee, FL",Immokalee,2010
84,"Ross, Ryan",WR,FR,6-1,190,"Akron, OH",Hoban,2010
86,"Ryan, Mike",WR,FR,6-3,175,"Columbus, OH",St. Charles,2010
6,"Sabino, Etienne",LB,JR,6-3,240,"North Miami Beach, FL",Dr. Krop,2010
3,"Saine, Brandon",RB,SR,6-1,219,"Piqua, OH",Piqua,2010
12,"Sanzenbacher, Dane",WR,SR,5-11,180,"Toledo, OH",Central Catholic,2010
82,"Schuck, Kyle",TE,FR,6-1,230,"Selinsgrove, PA",Selinsgrove,2010
17,"Schwartz, Grant",WR,SR,6-1,210,"Dana Point, CA",Dana Hills,2010
76,"Shugarts, J.B.",OL,JR,6-7,297,"Klein, TX",Klein,2010
17,"Siems, Justin",QB,FR,6-2,216,"Charlotte, NC",Providence,2010
72,"Sika, Scott",OL,SR,6-2,282,"Strongsville, OH",Strongsville,2010
54,"Simon, John",DL,SO,6-2,270,"Youngstown, OH",Cardinal Mooney,2010
77,"Smith, Connor",OL,SR,6-4,313,"Cincinnati, OH",Colerain,2010
24,"Smith, Rod",RB,FR,6-3,220,"Fort Wayne, IN",Paul Harding,2010
48,"Smith, Spencer",TE,JR,6-2,236,"Cincinnati, OH",Colerain,2010
59,"Smith, Stewart",DL,SO,6-3,227,"New Albany, OH",Gahanna Lincoln,2010
66,"St. John, Ben",OL,FR,6-2,295,"Elmore, OH",Woodmore,2010
11,"Stoneburner, Jake",TE,SO,6-5,245,"Dublin, OH",Dublin Coffman,2010
42,"Sweat, Andrew",LB,JR,6-2,238,"Washington, PA",Trinity,2010
98,"Thomas, Solomon",DL,JR,6-5,255,"West Chester, OH",Lakota West,2010
1,"Torrence, Devon",DB,SR,6-1,200,"Canton, OH",Canton South,2010
13,"Vann, Julian",DB,FR,5-10,170,"Lithonia, GA",Parkview,2010
5,"Washington, Taurian",WR,SR,6-1,181,"Orchard Lake, MI",St. Mary's,2010
39,"Whiting, Jordan",LB,FR,6-1,238,"Louisville, KY",Trinity,2010
43,"Williams, Nathan",DL,JR,6-3,260,"Washington C.H., OH",Miami Trace,2010
18,"Williams, T.Y.",WR,FR,6-5,218,"East Cleveland, OH",Shaw,2010
21,"Wood, Jamie",DB,FR,6-1,198,"Pickerington, OH",Pickerington Central,2010
74,"Adams, Mike",OL,SO,6-8,322,"Dublin, OH",Dublin Coffman,2009
13,"Amos, Andre",CB,SR,6-1,183,"Middletown, OH",Middletown,2009
86,"Ballard, Jake",TE,SR,6-6,256,"Springboro, OH",Springboro,2009
12,"Barclay, Devin",K,JR,5-11,195,"Annapolis, MD",McDonogh,2009
14,"Barnett, C.J.",DB,FR,6-1,185,"Dayton , OH",Northmont,2009
14,"Bauserman, Joe",QB,SO,6-2,220,"Strasburg, VA",Lincoln,2009
11,"Bell, Dorian",LB,FR,6-1,220,"Monroeville, PA",Gateway,2009
93,"Bellamy, Adam",DT,FR,6-4,280,"Aurora, OH",Aurora,2009
4,"Berry, Jaamal",RB,FR,5-11,195,"Pinecrest, FL",Miami Palmetto,2009
68,"Blankenship, Evan",OL,SO,6-3,290,"Monaca, PA",Center Area,2009
65,"Boren, Justin",OL,JR,6-3,315,"Pickerington, OH",Pickerington,2009
44,"Boren, Zach",RB,FR,6-3,255,"Pickerington, OH",Pickerington Central,2009
50,"Brewster, Michael",OL,SO,6-5,296,"Orlando, FL",Edgewater,2009
56,"Britt, Dalton",DL,FR,6-4,265,"Bellville, OH",Clear Fork,2009
3,"Brown, Corey",DB,FR,6-1,185,"Monroeville, PA",Gateway,2009
70,"Browning, Bryant",OL,JR,6-4,312,"Cleveland, OH",Glenville,2009
17,"Buchanan, Ben",P,FR,6-1,200,"Westerville, OH",Westerville Central,2009
9,"Carter, Duron",WR,FR,6-2,190,"Ft. Lauderdale, FL",St. Thomas Aquinas,2009
83,"Cech, Joe",WR,FR,6-2,181,"Aurora, OH",Aurora,2009
52,"Chappelear, Gar",LS,FR,6-2,250,"Grove City, OH",Grove City,2009
5,"Chekwa, Chimdi",DB,JR,6-1,188,"Clermont, FL",East Ridge,2009
46,"Christian, K.C.",RB,JR,5-11,209,"Kitts Hill, OH",Rock Hill,2009
28,"Clarke, Dominic",DB,FR,5-11,180,"Frederick, MD",Tuscarora,2009
4,"Coleman, Kurt",DB,SR,5-11,195,"Clayton, OH",Northmont,2009
64,"Cordle, Jim",C,SR,6-4,297,"Lancaster, OH",Lancaster,2009
81,"Crawford, Ricky",WR,JR,6-2,215,"Lewis Center, OH",Olentangy,2009
35,"DeLande, Bo",RB,SO,6-1,184,"Hilliard, OH",Davidson,2009
92,"Denlinger, Todd",DL,SR,6-2,292,"Troy, OH",Troy,2009
81,"DiLillo, Nic",TE,FR,6-5,237,"Madison, OH",Madison,2009
16,"Domicone, Zach",DB,FR,6-3,215,"Xenia, OH",Beavercreek,2009
46,"Dziak, Grant",LB,SO,5-11,257,"Port Clinton, OH",Port Clinton,2009
24,"Ebner, Nate",DB,FR,6-1,197,"Dublin, OH",Hilliard Davidson,2009
39,"Erwin, Derek",P,FR,5-10,191,"Tiro, OH",Buckeye Central,2009
30,"Evege, Donnie",DB,SO,5-11,189,"Huber Heights, OH",Wayne,2009
91,"Fellows, Melvin",DE,FR,6-5,235,"Garfield Hts., OH",Garfield Heights,2009
80,"Fields, Chris",WR,FR,6-1,185,"Painesville, OH",Painesville Harvey,2009
88,"Fragel, Reid",TE,FR,6-7,260,"Grosse Pointe Farms, MI",Grosse Pointe South,2009
8,"Gant, Aaron",S,SR,6-1,194,"Orchard Lake, MI",St. Mary's,2009
33,"Gantz, Joe",RB,SR,6-1,199,"Wooster, OH",Wooster,2009
37,"Georgiades, James",RB,FR,6-1,240,"North Canton, OH",Hoover,2009
90,"Gibson, Thaddeus",LB,JR,6-2,240,"Euclid, OH",Euclid,2009
25,"Glass, Onesiaum",RB,FR,5-8,230,"Westerville, OH",Westerville Central,2009
53,"Goebel, Garrett",DL,FR,6-5,280,"Villa Park, IL",Montini,2009
13,"Guiton, Ken",QB,FR,6-3,180,"Houston, TX",Eisenhower,2009
29,"Hall, Jordan",RB,FR,5-10,190,"Jeannette, PA",Jeannette,2009
79,"Hall, Marcus",OL,FR,6-5,300,"Cleveland, OH",Glenville,2009
85,"Harlamert, Tony",WR,FR,5-11,175,"Coldwater, OH",Coldwater,2009
35,"Hastings, James",LB,FR,5-9,200,"Upper Arlington, OH",Upper Arlington,2009
1,"Herron, Daniel",RB,SO,5-10,193,"Warren, OH",Harding,2009
97,"Heyward, Cameron",DT,JR,6-6,287,"Suwanee, GA",Peachtree Ridge,2009
7,"Hines, Jermale",LB,JR,6-2,210,"Cleveland, OH",Glenville,2009
49,"Homan, Adam",LB,FR,6-4,235,"Coldwater, OH",Coldwater,2009
51,"Homan, Ross",LB,JR,6-1,229,"Coldwater, OH",Coldwater,2009
18,"Howard, Travis",DB,FR,6-1,180,"Miami, FL",Dr. Krop,2009
53,"Howe, Patrick",LS,JR,6-2,204,"Cincinnati, OH",St. Xavier,2009
89,"Hummel, Garrett",WR,JR,5-11,183,"Shelby, OH",Shelby,2009
57,"Ingham, Tom",DE,SR,6-1,243,"Centerville, OH",Centerville,2009
15,"Jackson, James",WR,FR,5-10,180,"Grand Ledge, MI",Grand Ledge,2009
41,"Jackson, Tony",LB,SO,5-11,227,"Columbus, OH",Westland,2009
19,"Johnson, Orhian",DB,FR,6-2,178,"St. Petersburg, FL",Boca Ciega,2009
73,"Kerr, Josh",OT,JR,6-4,286,"Strongsville, OH",Strongsville,2009
32,"Klein, Storm",LB,FR,6-3,225,"Newark, OH",Licking Valley,2009
72,"Larimore, Dexter",DL,JR,6-2,300,"Merrillville, IN",Merrillville,2009
71,"Linsley, Corey",OL,FR,6-4,275,"Youngstown, OH",Boardman,2009
59,"Longo, Sam",OL,FR,6-6,280,"Spring Valley, OH",Bellbrook,2009
62,"Lorenz, Jon",DL,FR,6-1,265,"Dublin, OH",Bishop Watterson,2009
57,"Malone, Chris",OL,JR,6-1,268,"Gahanna, OH",Lincoln,2009
41,"Martin, Jermil",RB,FR,6-1,227,"Cleveland, OH",Glenville,2009
95,"Matheney, Don",DL,JR,6-1,307,"Lancaster, OH",Lancaster,2009
29,"Maxwell, Chris",DB,FR,6-2,212,"Maineville, OH",Kings,2009
96,"McQuaide, Jake",LS,JR,6-2,219,"Cincinnati, OH",Elder,2009
74,"Mewhort, Jack",OL,FR,6-7,290,"Toledo, OH",St. John?s,2009
55,"Miller, Andy",OL,JR,6-6,279,"Washington, PA",Trinity,2009
26,"Moeller, Tyler",LB,JR,6-1,216,"Cincinnati, OH",Colerain,2009
66,"Moses, Andrew",OL,SR,6-3,280,"Dublin, OH",Bishop Watterson,2009
55,"Newsome, Jonathan",DE,FR,6-3,230,"Cleveland, OH",Glenville,2009
15,"Oliver, Nate",S,SO,6-1,215,"Lakewood, OH",St. Edward,2009
16,"Oltorik, Ross",QB,FR,6-2,210,"Cincinnati, OH",Moeller,2009
25,"Pentello, Rocco",DB,SO,6-1,194,"Westerville, OH",South,2009
20,"Pettrey, Aaron",K,SR,6-2,199,"Raceland, KY",Raceland-Worthington,2009
8,"Posey, DeVier",WR,SO,6-3,205,"Cincinnati, OH",LaSalle,2009
83,"Potokar, Dan",WR,SR,6-1,180,"Grove City, OH",Grove City,2009
2,"Pryor, Terrelle",QB,SO,6-6,235,"Jeannette, PA",Jeannette,2009
32,"Rice, Taylor",DB,FR,5-11,171,"Dublin, OH",Scioto,2009
87,"Roark, Chris",WR,FR,5-9,171,"Kettering, OH",Alter,2009
36,"Rolle, Brian",LB,JR,5-11,221,"Immokalee, FL",Immokalee,2009
9,"Rose, Robert",DL,SR,6-5,285,"Cleveland, OH",Glenville,2009
21,"Russell, Anderson",DB,SR,6-1,205,"Atlanta, GA",Marist,2009
6,"Sabino, Etienne",LB,SO,6-3,232,"North Miami Beach, FL",Dr. Krop,2009
3,"Saine, Brandon",RB,JR,6-1,217,"Piqua, OH",Piqua,2009
12,"Sanzenbacher, Dane",WR,JR,5-11,175,"Toledo, OH",Central Catholic,2009
16,"Schuck, Ryan",WR,JR,6-1,204,"Selinsgrove, PA",Selinsgrove Area,2009
6,"Schwartz, Grant",WR,JR,6-1,194,"Dana Hills, CA",Dana Hills,2009
76,"Shugarts, J.B.",OL,SO,6-8,298,"Klein, TX",Klein,2009
17,"Siems, Justin",QB,FR,6-3,215,"Charlotte, NC",Providence,2009
72,"Sika, Scott",OL,JR,6-2,280,"Strongsville, OH",Strongsville,2009
54,"Simon, John",DL,FR,6-3,265,"Youngstown, OH",Cardinal Mooney,2009
69,"Slagle, Zach",OL,JR,6-1,297,"Canton, OH",McKinley,2009
82,"Small, Ray",WR,SR,5-11,180,"Cleveland, OH",Glenville,2009
77,"Smith, Connor",OL,JR,6-4,321,"Cincinnati, OH",Colerain,2009
48,"Smith, Spencer",FB,SO,6-2,225,"Cincinnati, OH",Colerain,2009
91,"Smith, Stewart",DL,FR,6-3,231,"New Albany, OH",Gahanna Lincoln,2009
38,"Spitler, Austin",LB,SR,6-3,234,"Bellbrook, OH",Bellbrook,2009
11,"Stoneburner, Jake",WR,FR,6-5,230,"Dublin, OH",Dublin Coffman,2009
42,"Sweat, Andrew",LB,SO,6-2,220,"Washington, PA",Trinity,2009
48,"Thoma, Jon Majalap",P,SR,6-2,201,"Louisville, OH",St. Thomas Aquinas,2009
15,"Thomas, Lamaar",WR,SO,5-11,186,"Ft. Washington, MD",Friendly,2009
98,"Thomas, Solomon",DL,SO,6-5,240,"West Chester, OH",Lakota West,2009
10,"Torrence, Devon",WR,JR,6-1,193,"Canton, OH",Canton South,2009
5,"Washington, Taurian",WR,JR,6-2,179,"Orchard Lake, MI",St. Mary's,2009
94,"Wells, Keith",DL,SO,6-5,210,"Gainesville, GA",Gainesville,2009
39,"Whiting, Jordan",LB,FR,6-1,235,"Louisville, KY",Trinity,2009
24,"Williams, Marcus",RB,SR,5-10,202,"Ironton, OH",Ironton,2009
43,"Williams, Nathan",DL,SO,6-4,245,"Washington C.H., OH",Miami Trace,2009
87,"Wilson, Lawrence",DL,SR,6-4,274,"Akron, OH",St. Vincent-St. Mary High School,2009
23,"Wood, Jamie",DB,FR,6-1,187,"Pickerington, OH",Pickerington Central,2009
84,"Worthington, Doug",DL,SR,6-6,276,"Athol Springs, NY",Saint Francis,2009
93,"Abdallah, Nader",DT,SR,6-4,300,"Metairie, LA",Archbishop Rummel,2008
74,"Adams, Mike",OL,FR,6-8,322,"Dublin, OH",Dublin Coffman,2008
13,"Amos, Andre",CB,JR,6-1,183,"Middletown, OH",Middletown,2008
86,"Ballard, Jake",TE,JR,6-6,256,"Springboro, OH",Springboro,2008
12,"Barclay, Devin",K,SO,5-11,195,"Annapolis, MD",McDonogh,2008
14,"Bauserman, Joe",QB,FR,6-2,220,"Woodstock, VA",Lincoln,2008
68,"Blankenship, Evan",OL,FR,6-3,290,"Monaca, PA",Center Area,2008
17,"Boeckman, Todd",QB,SR,6-4,244,"St. Henry, OH",St. Henry,2008
75,"Boone, Alex",OT,SR,6-8,312,"Lakewood, OH",St. Edward,2008
50,"Brewster, Michael",OL,FR,6-5,296,"Orlando, FL",Edgewater,2008
70,"Browning, Bryant",OL,SO,6-4,312,"Cleveland, OH",Glenville,2008
17,"Buchanan, Ben",P,FR,6-1,200,"Westerville, OH",Westerville Central,2008
52,"Chappelear, Gar",LS,FR,6-2,250,"Grove City, OH",Grove City,2008
5,"Chekwa, Chimdi",DB,SO,6-1,188,"Clermont, FL",East Ridge,2008
46,"Christian, K.C.",RB,SO,5-11,209,"Kitts Hill, OH",Rock Hill,2008
4,"Coleman, Kurt",CB,JR,5-11,188,"Clayton, OH",Northmont,2008
64,"Cordle, Jim",C,JR,6-4,297,"Lancaster, OH",Lancaster,2008
81,"Crawford, Ricky",WR,SO,6-2,215,"Lews Center, OH",Olentangy,2008
35,"DeLande, Bo",RB,FR,6-1,184,"Hilliard, OH",Davidson,2008
92,"Denlinger, Todd",DL,JR,6-2,292,"Troy, OH",Troy,2008
81,"DiLillo, Nic",TE,FR,6-5,237,"Madison, OH",Madison,2008
16,"Domicone, Zach",DB,FR,6-3,215,"Xenia, OH",Beavercreek,2008
65,"Ebner, Doug",OL,SR,6-3,271,"Hershey, PA",Hershey,2008
30,"Evege, Donnie",DB,FR,5-11,189,"Huber Heights, OH",Wayne,2008
1,"Freeman, Marcus",LB,SR,6-1,239,"Huber Heights, OH",Wayne,2008
8,"Gant, Aaron",S,JR,6-1,194,"Orchard Lake, MI",St. Mary's,2008
33,"Gantz, Joe",RB,JR,6-1,199,"Wooster, OH",Wooster,2008
24,"Gentry, Tyson",P,SR,6-2,165,"Sandusky, OH",Perkins,2008
37,"Georgiades, James",RB,FR,6-1,240,"North Canton, OH",Hoover,2008
90,"Gibson, Thaddeus",LB,SO,6-2,240,"Euclid, OH",Euclid,2008
53,"Goebel, Garrett",DL,FR,6-5,280,"Villa Park, IL",Montini,2008
69,"Gray, Bryan",DL,SR,6-2,285,"Antwerp, OH",Antwerp,2008
9,"Hartline, Brian",WR,JR,6-2,186,"North Canton, OH",GlenOak,2008
1,"Herron, Daniel",RB,FR,5-10,193,"Warren, OH",Harding,2008
97,"Heyward, Cameron",DT,SO,6-6,287,"Suwanee, GA",Peachtree Ridge,2008
7,"Hines, Jermale",LB,SO,6-2,210,"Cleveland, OH",Glenville,2008
51,"Homan, Ross",LB,SO,6-1,229,"Coldwater, OH",Coldwater,2008
18,"Howard, Travis",DB,FR,6-1,180,"Miami, FL",Dr. Krop,2008
53,"Howe, Patrick",LS,SO,6-2,204,"Cincinnati, OH",St. Xavier,2008
89,"Hummel, Garrett",WR,SO,5-11,183,"Shelby, OH",Shelby,2008
57,"Ingham, Tom",DE,JR,6-1,243,"Centerville, OH",Centerville,2008
41,"Jackson, Tony",LB,FR,5-11,227,"Columbus, OH",Westland,2008
2,"Jenkins, Malcolm",CB,SR,6-1,201,"Piscataway, NJ",Piscataway,2008
44,"Johnson, Mark",DL,SO,6-3,250,"Los Angeles, CA",Dorsey,2008
19,"Johnson, Orhian",DB,FR,6-2,178,"Gulfport, FL",Boca Ciega,2008
13,"Kacsandi, Ben",WR,SR,6-1,209,"Wooster, OH",Wooster,2008
73,"Kerr, Josh",OT,SO,6-4,286,"Strongsville, OH",Strongsville,2008
29,"Lane, Shaun",DB,SR,5-10,175,"Hubbard, OH",Hubbard,2008
72,"Larimore, Dexter",DL,SO,6-2,300,"Merrillville, IN",Merrillville,2008
46,"Larson, J.D.",TE,SR,6-4,229,"Ventura, CA",Ventura,2008
33,"Laurinaitis, James",LB,SR,6-3,240,"Hamel, MN",Wayzata,2008
49,"Lukens, Ryan",RB,SR,6-1,238,"Lebanon, OH",Archbishop Moeller,2008
57,"Malone, Chris",OL,SO,6-1,268,"Gahanna, OH",Lincoln,2008
41,"Martin, Jermil",RB,FR,6-1,227,"Cleveland, OH",Glenville,2008
41,"Mattimoe, Michael",K,JR,5-11,160,"Atlanta, GA",Marist School,2008
96,"McQuaide, Jake",LS,SO,6-2,219,"Cincinnati, OH",Elder,2008
55,"Miller, Andy",OL,SO,6-6,279,"Washington, PA",Trinity,2008
67,"Mitchum, Kyle",OL,SR,6-3,291,"Erie, PA",McDowell,2008
96,"Mobley, Willie",DE,FR,6-3,265,"Eden Prairie, MN",Eden Prairie,2008
26,"Moeller, Tyler",LB,SO,6-1,216,"Cincinnati, OH",Colerain,2008
66,"Moses, Andrew",OL,JR,6-3,280,"Dublin, OH",Bishop Watterson,2008
88,"Nicol, Rory",TE,SR,6-5,252,"Beaver, PA",Beaver Area,2008
3,"O'Neal, Jamario",S,SR,6-1,205,"Cleveland, OH",Glenville,2008
14,"Oliver, Nate",S,FR,6-1,215,"Lakewood, OH",St. Edward,2008
16,"Oltorik, Ross",QB,FR,6-2,210,"Cincinnati, OH",Moeller,2008
23,"Patterson, Nick",DB,SR,6-1,209,"St. Louis, MO",Hazelwood Central,2008
25,"Pentello, Rocco",DB,FR,6-1,194,"Westerville, OH",South,2008
63,"Person, Ben",OL,SR,6-3,323,"Xenia, OH",Xenia,2008
20,"Pettrey, Aaron",K,JR,6-2,199,"Raceland, KY",Raceland-Worthington,2008
8,"Posey, DeVier",WR,FR,6-3,205,"Cincinnati, OH",LaSalle,2008
83,"Potokar, Dan",WR,JR,6-1,180,"Grove City, OH",Grove City,2008
85,"Pretorius, Ryan",K,SR,5-9,169,"Durban, South Africa",Westville Boys,2008
2,"Pryor, Terrelle",QB,FR,6-6,235,"Jeannette, PA",Jeannette,2008
71,"Rehring, Steve",OT,SR,6-7,335,"West Chester, OH",Lakota West,2008
